fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
0,74,27,47,137,0,74,74
1,395,74,321,1263,395,0,0
2,30,9,21,45,0,30,30
3,21,9,12,20,0,21,21
4,3,3,0,0,0,3,3
5,2,1,1,1,0,2,2
6,2,1,1,1,0,2,2
7,2,1,1,1,0,2,2
8,1,1,0,0,0,1,2
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,8,2,6,9,0,8,8
14,2,2,0,0,0,2,4
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,34,25,9,18,0,34,52
18,24,6,18,39,0,24,34
19,23,15,8,10,0,23,27
20,20,7,13,27,0,20,20
21,7,5,2,2,0,7,11
22,8,8,0,0,0,8,8
23,7,5,2,3,0,7,7
24,4,3,1,1,0,4,4
25,4,2,2,2,0,4,4
26,2,2,0,0,0,2,2
27,1,1,0,0,0,1,1
28,1,1,0,0,0,1,2
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,2,2,0,0,0,2,3
32,1,1,0,0,0,1,1
33,1,1,0,0,0,1,1
34,0,0,0,0,0,0,0
35,49,20,29,51,0,49,66
36,24,10,14,45,0,24,45
37,23,10,13,20,0,23,24
38,4,3,1,1,0,4,6
39,15,13,2,3,0,15,15
40,4,4,0,0,0,4,6
41,4,2,2,3,0,4,4
42,2,2,0,0,0,2,4
43,2,2,0,0,0,2,2
44,2,2,0,0,0,2,3
45,2,2,0,0,0,2,4
46,2,2,0,0,0,2,4
47,2,2,0,0,0,2,2
48,2,1,1,1,0,2,3
49,2,2,0,0,0,2,5
50,2,2,0,0,0,2,3
51,2,2,0,0,0,2,7
52,1,1,0,0,0,1,1
53,1,1,0,0,0,1,2
54,1,1,0,0,0,1,2
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,1,1,0,0,0,1,3
64,8,4,4,4,0,8,16
65,30,14,16,22,0,30,30
66,27,7,20,41,0,27,34
67,14,6,8,14,0,14,23
68,7,3,4,5,0,7,7
69,6,4,2,3,0,6,13
70,8,6,2,2,0,8,8
71,2,2,0,0,0,2,5
72,7,4,3,5,0,7,15
73,3,1,2,2,0,3,5
74,6,5,1,1,0,6,15
75,5,3,2,2,0,5,8
76,5,4,1,1,0,5,8
77,4,3,1,1,0,4,7
78,4,2,2,2,0,4,4
79,3,2,1,1,0,3,7
80,3,3,0,0,0,3,3
81,1,1,0,0,0,1,1
82,1,1,0,0,0,1,1
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,8,5,3,3,0,8,12
92,1,1,0,0,0,1,1
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,3,2,1,1,0,3,7
96,12,6,6,8,0,12,17
97,6,1,5,7,0,6,16
98,4,3,1,1,0,4,4
99,3,3,0,0,0,3,3
100,3,2,1,1,0,3,8
101,2,2,0,0,0,2,2
102,2,2,0,0,0,2,4
103,1,1,0,0,0,1,1
104,18,12,6,13,0,18,29
105,1,1,0,0,0,1,1
106,1,1,0,0,0,1,4
107,1,1,0,0,0,1,2
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,2,2,0,0,0,2,3
117,1,1,0,0,0,1,1
118,1,1,0,0,0,1,2
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,1,1,0,0,0,1,1
123,5,3,2,3,0,5,9
124,7,3,4,7,0,7,10
125,6,6,0,0,0,6,6
126,7,3,4,7,0,7,21
127,6,5,1,1,0,6,20
128,6,6,0,0,0,6,8
129,5,4,1,1,0,5,9
130,5,3,2,2,0,5,10
131,6,5,1,1,0,6,11
132,4,4,0,0,0,4,8
133,3,3,0,0,0,3,17
134,3,1,2,3,3,0,0
135,1,1,0,0,1,0,0
136,2,1,1,1,2,0,0
137,2,1,1,1,0,2,7
138,1,1,0,0,0,1,2
139,3,1,2,2,0,3,8
140,2,2,0,0,0,2,6
141,1,1,0,0,0,1,2
142,2,2,0,0,0,2,2
143,2,2,0,0,0,2,3
144,1,1,0,0,0,1,1
145,1,1,0,0,0,1,1
146,1,1,0,0,0,1,2
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,1,1,0,0,0,1,2
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,46,20,26,59,0,46,68
156,20,11,9,15,0,20,42
157,8,5,3,7,0,8,14
158,7,6,1,1,0,7,22
159,5,5,0,0,0,5,10
160,4,3,1,1,0,4,19
161,3,3,0,0,0,3,3
162,2,2,0,0,0,2,5
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,3,2,1,1,0,3,3
170,2,2,0,0,0,2,6
171,0,0,0,0,0,0,0
172,26,16,10,13,0,26,30
173,15,7,8,13,0,15,35
174,8,2,6,7,0,8,13
175,7,5,2,2,0,7,15
176,3,3,0,0,0,3,10
177,2,2,0,0,0,2,2
178,2,2,0,0,0,2,2
179,2,2,0,0,0,2,2
180,1,1,0,0,0,1,1
181,1,1,0,0,0,1,1
182,1,1,0,0,0,1,1
183,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0
190,2,2,0,0,0,2,7
191,1,1,0,0,0,1,1
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,10,5,5,5,0,10,31
196,12,7,5,5,0,12,32
197,7,5,2,2,0,7,10
198,2,2,0,0,0,2,3
199,3,3,0,0,0,3,8
200,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
204,2,2,0,0,0,2,8
205,1,1,0,0,0,1,1
206,12,5,7,9,0,12,15
207,2,1,1,1,0,2,3
208,8,6,2,2,0,8,15
209,2,1,1,1,0,2,6
210,7,5,2,2,0,7,25
211,4,2,2,2,0,4,12
212,3,3,0,0,0,3,9
213,1,1,0,0,0,1,4
214,2,2,0,0,0,2,2
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0
226,6,5,1,1,0,6,16
227,2,2,0,0,0,2,4
228,2,2,0,0,0,2,5
229,1,1,0,0,0,1,4
230,0,0,0,0,0,0,0
231,25,3,22,72,0,25,25
232,7,3,4,4,0,7,12
233,2,2,0,0,0,2,5
234,2,1,1,1,0,2,2
235,1,1,0,0,0,1,3
236,1,1,0,0,0,1,1
237,1,1,0,0,0,1,3
238,1,1,0,0,0,1,2
239,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0
246,1,1,0,0,0,1,2
247,1,1,0,0,0,1,6
248,6,6,0,0,0,6,23
249,4,2,2,2,0,4,7
250,4,3,1,1,0,4,9
251,4,3,1,1,0,4,6
252,2,2,0,0,0,2,5
253,1,1,0,0,0,1,6
254,1,1,0,0,0,1,1
255,1,1,0,0,0,1,2
256,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0
262,1,1,0,0,0,1,1
263,0,0,0,0,0,0,0
264,16,2,14,33,0,16,32
265,8,4,4,5,0,8,15
266,3,3,0,0,0,3,4
267,3,2,1,1,0,3,4
268,2,2,0,0,0,2,6
269,2,1,1,1,0,2,7
270,1,1,0,0,0,1,4
271,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0
277,23,9,14,20,0,23,75
278,13,8,5,6,0,13,28
279,8,7,1,1,0,8,21
280,5,4,1,1,0,5,11
281,5,1,4,4,0,5,10
282,2,2,0,0,0,2,3
283,2,2,0,0,0,2,7
284,2,2,0,0,0,2,5
285,1,1,0,0,0,1,1
286,1,1,0,0,0,1,2
287,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0
290,1,1,0,0,0,1,3
291,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0
293,14,4,10,18,0,14,22
294,8,8,0,0,0,8,10
295,9,7,2,3,0,9,34
296,9,4,5,9,0,9,16
297,8,6,2,3,0,8,22
298,2,2,0,0,0,2,6
299,1,1,0,0,1,0,0
300,2,2,0,0,0,2,7
301,1,1,0,0,0,1,6
302,1,1,0,0,0,1,5
303,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0
308,1,1,0,0,0,1,1
309,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0
313,8,4,4,8,0,8,20
314,4,4,0,0,0,4,4
315,4,1,3,3,0,4,21
316,3,3,0,0,0,3,12
317,3,2,1,1,0,3,8
318,1,1,0,0,0,1,4
319,2,2,0,0,0,2,3
320,1,1,0,0,0,1,4
321,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0
330,2,2,0,0,0,2,10
331,1,1,0,0,0,1,2
332,1,1,0,0,0,1,6
333,1,1,0,0,0,1,1
334,1,1,0,0,0,1,1
335,1,1,0,0,0,1,5
336,0,0,0,0,0,0,0
337,1,1,0,0,0,1,1
338,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0
343,11,11,0,0,0,11,24
344,2,2,0,0,0,2,7
345,0,0,0,0,0,0,0
346,1,1,0,0,0,1,2
347,1,1,0,0,0,1,5
348,0,0,0,0,0,0,0
349,1,1,0,0,0,1,3
350,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0
361,2,2,0,0,0,2,8
362,0,0,0,0,0,0,0
363,1,1,0,0,0,1,4
364,1,1,0,0,0,1,6
365,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0
367,1,1,0,0,0,1,1
368,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0
398,2,2,0,0,0,2,2
399,4,4,0,0,0,4,13
