fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
0,41,23,18,36,0,41,41
1,202,58,144,397,202,0,0
2,25,8,17,37,0,25,25
3,13,8,5,6,0,13,13
4,2,2,0,0,0,2,2
5,2,1,1,1,0,2,2
6,2,1,1,1,0,2,2
7,2,1,1,1,0,2,2
8,1,1,0,0,0,1,2
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,5,2,3,4,0,5,5
14,2,2,0,0,0,2,4
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,23,20,3,4,0,23,33
18,16,6,10,17,0,16,26
19,16,14,2,2,0,16,19
20,12,6,6,7,0,12,12
21,4,3,1,1,0,4,8
22,2,2,0,0,0,2,2
23,5,4,1,1,0,5,5
24,2,2,0,0,0,2,2
25,3,2,1,1,0,3,3
26,2,2,0,0,0,2,2
27,1,1,0,0,0,1,1
28,1,1,0,0,0,1,2
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,2,2,0,0,0,2,3
32,1,1,0,0,0,1,1
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,18,14,4,7,0,18,25
36,14,9,5,12,0,14,26
37,15,10,5,7,0,15,15
38,2,2,0,0,0,2,2
39,10,10,0,0,0,10,10
40,2,2,0,0,0,2,3
41,3,2,1,1,0,3,3
42,2,2,0,0,0,2,4
43,1,1,0,0,0,1,1
44,1,1,0,0,0,1,1
45,2,2,0,0,0,2,4
46,1,1,0,0,0,1,1
47,2,2,0,0,0,2,2
48,1,1,0,0,0,1,2
49,1,1,0,0,0,1,2
50,2,2,0,0,0,2,3
51,2,2,0,0,0,2,7
52,1,1,0,0,0,1,1
53,1,1,0,0,0,1,2
54,1,1,0,0,0,1,2
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,1,1,0,0,0,1,3
64,5,2,3,3,0,5,12
65,14,11,3,4,0,14,14
66,5,2,3,4,0,5,8
67,10,5,5,6,0,10,16
68,4,3,1,1,0,4,4
69,4,3,1,1,0,4,9
70,3,3,0,0,0,3,3
71,2,2,0,0,0,2,5
72,3,2,1,1,0,3,6
73,2,1,1,1,0,2,4
74,4,3,1,1,0,4,11
75,1,1,0,0,0,1,2
76,1,1,0,0,0,1,1
77,0,0,0,0,0,0,0
78,2,2,0,0,0,2,2
79,0,0,0,0,0,0,0
80,2,2,0,0,0,2,2
81,1,1,0,0,0,1,1
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,3,2,1,1,0,3,5
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0
96,6,5,1,1,0,6,11
97,2,1,1,1,0,2,5
98,1,1,0,0,0,1,1
99,2,2,0,0,0,2,2
100,1,1,0,0,0,1,2
101,0,0,0,0,0,0,0
102,1,1,0,0,0,1,2
103,0,0,0,0,0,0,0
104,5,5,0,0,0,5,9
105,1,1,0,0,0,1,1
106,1,1,0,0,0,1,4
107,1,1,0,0,0,1,2
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,1,1,0,0,0,1,2
117,1,1,0,0,0,1,1
118,1,1,0,0,0,1,2
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0
124,1,1,0,0,0,1,2
125,4,4,0,0,0,4,4
126,3,2,1,1,0,3,10
127,2,2,0,0,0,2,5
128,1,1,0,0,0,1,1
129,1,1,0,0,0,1,4
130,2,2,0,0,0,2,4
131,1,1,0,0,0,1,1
132,3,3,0,0,0,3,6
133,0,0,0,0,0,0,0
134,2,1,1,1,2,0,0
135,1,1,0,0,1,0,0
136,2,1,1,1,2,0,0
137,1,1,0,0,0,1,4
138,1,1,0,0,0,1,2
139,3,1,2,2,0,3,8
140,1,1,0,0,0,1,4
141,1,1,0,0,0,1,2
142,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0
144,1,1,0,0,0,1,1
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,4,3,1,1,0,4,10
156,1,1,0,0,0,1,1
157,0,0,0,0,0,0,0
158,1,1,0,0,0,1,3
159,2,2,0,0,0,2,6
160,0,0,0,0,0,0,0
161,1,1,0,0,0,1,1
162,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0
172,1,1,0,0,0,1,2
173,1,1,0,0,0,1,5
174,1,1,0,0,0,1,2
175,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0
191,1,1,0,0,0,1,1
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0
