fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
0,47,25,22,43,0,47,47
1,229,59,170,505,229,0,0
2,26,8,18,38,0,26,26
3,16,8,8,11,0,16,16
4,2,2,0,0,0,2,2
5,2,1,1,1,0,2,2
6,2,1,1,1,0,2,2
7,2,1,1,1,0,2,2
8,1,1,0,0,0,1,2
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,6,2,4,5,0,6,6
14,2,2,0,0,0,2,4
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,28,23,5,9,0,28,41
18,17,6,11,19,0,17,27
19,18,15,3,3,0,18,22
20,14,6,8,10,0,14,14
21,4,3,1,1,0,4,8
22,2,2,0,0,0,2,2
23,5,4,1,1,0,5,5
24,2,2,0,0,0,2,2
25,4,2,2,2,0,4,4
26,2,2,0,0,0,2,2
27,1,1,0,0,0,1,1
28,1,1,0,0,0,1,2
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,2,2,0,0,0,2,3
32,1,1,0,0,0,1,1
33,1,1,0,0,0,1,1
34,0,0,0,0,0,0,0
35,22,15,7,13,0,22,29
36,16,9,7,15,0,16,30
37,16,10,6,8,0,16,16
38,2,2,0,0,0,2,2
39,10,10,0,0,0,10,10
40,2,2,0,0,0,2,3
41,3,2,1,1,0,3,3
42,2,2,0,0,0,2,4
43,1,1,0,0,0,1,1
44,2,2,0,0,0,2,3
45,2,2,0,0,0,2,4
46,2,2,0,0,0,2,4
47,2,2,0,0,0,2,2
48,1,1,0,0,0,1,2
49,1,1,0,0,0,1,2
50,2,2,0,0,0,2,3
51,2,2,0,0,0,2,7
52,1,1,0,0,0,1,1
53,1,1,0,0,0,1,2
54,1,1,0,0,0,1,2
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,1,1,0,0,0,1,3
64,6,3,3,3,0,6,13
65,19,11,8,9,0,19,19
66,6,2,4,5,0,6,9
67,10,5,5,6,0,10,16
68,6,3,3,3,0,6,6
69,4,3,1,1,0,4,9
70,4,3,1,1,0,4,4
71,2,2,0,0,0,2,5
72,3,2,1,1,0,3,6
73,2,1,1,1,0,2,4
74,4,3,1,1,0,4,11
75,2,2,0,0,0,2,3
76,1,1,0,0,0,1,1
77,1,1,0,0,0,1,2
78,2,2,0,0,0,2,2
79,1,1,0,0,0,1,2
80,2,2,0,0,0,2,2
81,1,1,0,0,0,1,1
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,3,2,1,1,0,3,5
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,1,1,0,0,0,1,2
96,8,5,3,3,0,8,13
97,3,1,2,2,0,3,7
98,2,2,0,0,0,2,2
99,3,3,0,0,0,3,3
100,1,1,0,0,0,1,2
101,1,1,0,0,0,1,1
102,2,2,0,0,0,2,4
103,0,0,0,0,0,0,0
104,6,6,0,0,0,6,10
105,1,1,0,0,0,1,1
106,1,1,0,0,0,1,4
107,1,1,0,0,0,1,2
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,1,1,0,0,0,1,2
117,1,1,0,0,0,1,1
118,1,1,0,0,0,1,2
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0
124,2,1,1,1,0,2,3
125,4,4,0,0,0,4,4
126,3,2,1,1,0,3,10
127,4,4,0,0,0,4,12
128,2,2,0,0,0,2,2
129,1,1,0,0,0,1,4
130,2,2,0,0,0,2,4
131,2,2,0,0,0,2,3
132,4,4,0,0,0,4,8
133,0,0,0,0,0,0,0
134,2,1,1,1,2,0,0
135,1,1,0,0,1,0,0
136,2,1,1,1,2,0,0
137,1,1,0,0,0,1,4
138,1,1,0,0,0,1,2
139,3,1,2,2,0,3,8
140,1,1,0,0,0,1,4
141,1,1,0,0,0,1,2
142,0,0,0,0,0,0,0
143,1,1,0,0,0,1,2
144,1,1,0,0,0,1,1
145,0,0,0,0,0,0,0
146,1,1,0,0,0,1,2
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,1,1,0,0,0,1,2
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,15,7,8,10,0,15,24
156,5,4,1,1,0,5,10
157,0,0,0,0,0,0,0
158,2,2,0,0,0,2,5
159,3,3,0,0,0,3,7
160,2,2,0,0,0,2,7
161,1,1,0,0,0,1,1
162,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,2,1,1,1,0,2,2
170,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0
172,9,7,2,2,0,9,11
173,3,3,0,0,0,3,9
174,2,2,0,0,0,2,3
175,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,1,1,0,0,0,1,1
180,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0
191,1,1,0,0,0,1,1
192,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0
195,2,2,0,0,0,2,5
196,1,1,0,0,0,1,2
197,1,1,0,0,0,1,2
198,1,1,0,0,0,1,2
199,1,1,0,0,0,1,3
200,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0
207,1,1,0,0,0,1,2
208,0,0,0,0,0,0,0
209,1,1,0,0,0,1,4
210,0,0,0,0,0,0,0
211,1,1,0,0,0,1,4
212,0,0,0,0,0,0,0
213,1,1,0,0,0,1,4
214,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0
231,1,1,0,0,0,1,1
232,1,1,0,0,0,1,4
