fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
0,27,19,8,14,0,27,27
1,150,46,104,227,150,0,0
2,20,8,12,24,0,20,20
3,9,7,2,2,0,9,9
4,2,2,0,0,0,2,2
5,1,1,0,0,0,1,1
6,1,1,0,0,0,1,1
7,2,1,1,1,0,2,2
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,5,2,3,4,0,5,5
14,2,2,0,0,0,2,4
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,17,15,2,2,0,17,23
18,13,6,7,11,0,13,21
19,9,8,1,1,0,9,10
20,10,6,4,5,0,10,10
21,2,2,0,0,0,2,4
22,2,2,0,0,0,2,2
23,4,4,0,0,0,4,4
24,2,2,0,0,0,2,2
25,3,2,1,1,0,3,3
26,1,1,0,0,0,1,1
27,1,1,0,0,0,1,1
28,1,1,0,0,0,1,2
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,2,2,0,0,0,2,3
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,8,7,1,1,0,8,12
36,10,7,3,9,0,10,18
37,8,7,1,1,0,8,8
38,2,2,0,0,0,2,2
39,5,5,0,0,0,5,5
40,0,0,0,0,0,0,0
41,1,1,0,0,0,1,1
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,1,1,0,0,0,1,1
45,1,1,0,0,0,1,2
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,1,1,0,0,0,1,2
50,2,2,0,0,0,2,3
51,2,2,0,0,0,2,7
52,1,1,0,0,0,1,1
53,1,1,0,0,0,1,2
54,1,1,0,0,0,1,2
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,1,1,0,0,0,1,3
64,3,2,1,1,0,3,7
65,7,6,1,1,0,7,7
66,0,0,0,0,0,0,0
67,5,5,0,0,0,5,8
68,3,3,0,0,0,3,3
69,2,2,0,0,0,2,4
70,1,1,0,0,0,1,1
71,1,1,0,0,0,1,3
72,3,2,1,1,0,3,6
73,2,1,1,1,0,2,4
74,2,2,0,0,0,2,6
75,1,1,0,0,0,1,2
76,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0
78,1,1,0,0,0,1,1
79,0,0,0,0,0,0,0
80,1,1,0,0,0,1,1
81,1,1,0,0,0,1,1
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,1,1,0,0,0,1,1
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0
96,2,2,0,0,0,2,3
97,2,1,1,1,0,2,5
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
100,1,1,0,0,0,1,2
101,0,0,0,0,0,0,0
102,1,1,0,0,0,1,2
103,0,0,0,0,0,0,0
104,1,1,0,0,0,1,2
105,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0
107,1,1,0,0,0,1,2
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0
126,1,1,0,0,0,1,4
127,1,1,0,0,0,1,3
128,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0
134,2,1,1,1,2,0,0
135,1,1,0,0,1,0,0
136,2,1,1,1,2,0,0
137,1,1,0,0,0,1,4
138,1,1,0,0,0,1,2
139,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
