fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
0,72,27,45,130,0,72,72
1,359,71,288,1114,359,0,0
2,30,9,21,45,0,30,30
3,21,9,12,20,0,21,21
4,3,3,0,0,0,3,3
5,2,1,1,1,0,2,2
6,2,1,1,1,0,2,2
7,2,1,1,1,0,2,2
8,1,1,0,0,0,1,2
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,8,2,6,9,0,8,8
14,2,2,0,0,0,2,4
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,34,25,9,18,0,34,52
18,22,6,16,33,0,22,32
19,23,15,8,10,0,23,27
20,19,7,12,24,0,19,19
21,6,5,1,1,0,6,10
22,5,5,0,0,0,5,5
23,7,5,2,3,0,7,7
24,4,3,1,1,0,4,4
25,4,2,2,2,0,4,4
26,2,2,0,0,0,2,2
27,1,1,0,0,0,1,1
28,1,1,0,0,0,1,2
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,2,2,0,0,0,2,3
32,1,1,0,0,0,1,1
33,1,1,0,0,0,1,1
34,0,0,0,0,0,0,0
35,44,20,24,40,0,44,59
36,22,9,13,41,0,22,41
37,22,10,12,18,0,22,23
38,4,3,1,1,0,4,6
39,15,13,2,3,0,15,15
40,4,4,0,0,0,4,6
41,4,2,2,3,0,4,4
42,2,2,0,0,0,2,4
43,2,2,0,0,0,2,2
44,2,2,0,0,0,2,3
45,2,2,0,0,0,2,4
46,2,2,0,0,0,2,4
47,2,2,0,0,0,2,2
48,2,1,1,1,0,2,3
49,2,2,0,0,0,2,5
50,2,2,0,0,0,2,3
51,2,2,0,0,0,2,7
52,1,1,0,0,0,1,1
53,1,1,0,0,0,1,2
54,1,1,0,0,0,1,2
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,1,1,0,0,0,1,3
64,8,4,4,4,0,8,16
65,30,14,16,22,0,30,30
66,22,7,15,32,0,22,29
67,13,6,7,13,0,13,22
68,6,3,3,3,0,6,6
69,6,4,2,3,0,6,13
70,7,5,2,2,0,7,7
71,2,2,0,0,0,2,5
72,7,4,3,5,0,7,15
73,3,1,2,2,0,3,5
74,5,4,1,1,0,5,14
75,5,3,2,2,0,5,8
76,3,3,0,0,0,3,5
77,4,3,1,1,0,4,7
78,4,2,2,2,0,4,4
79,3,2,1,1,0,3,7
80,3,3,0,0,0,3,3
81,1,1,0,0,0,1,1
82,1,1,0,0,0,1,1
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,8,5,3,3,0,8,12
92,1,1,0,0,0,1,1
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,3,2,1,1,0,3,7
96,11,6,5,5,0,11,16
97,5,1,4,5,0,5,13
98,4,3,1,1,0,4,4
99,3,3,0,0,0,3,3
100,3,2,1,1,0,3,8
101,1,1,0,0,0,1,1
102,2,2,0,0,0,2,4
103,1,1,0,0,0,1,1
104,16,11,5,9,0,16,27
105,1,1,0,0,0,1,1
106,1,1,0,0,0,1,4
107,1,1,0,0,0,1,2
108,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,2,2,0,0,0,2,3
117,1,1,0,0,0,1,1
118,1,1,0,0,0,1,2
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,1,1,0,0,0,1,1
123,3,2,1,2,0,3,6
124,6,3,3,5,0,6,9
125,6,6,0,0,0,6,6
126,7,3,4,7,0,7,21
127,5,5,0,0,0,5,15
128,6,6,0,0,0,6,8
129,4,4,0,0,0,4,8
130,5,3,2,2,0,5,10
131,5,4,1,1,0,5,10
132,4,4,0,0,0,4,8
133,3,3,0,0,0,3,17
134,3,1,2,3,3,0,0
135,1,1,0,0,1,0,0
136,2,1,1,1,2,0,0
137,2,1,1,1,0,2,7
138,1,1,0,0,0,1,2
139,3,1,2,2,0,3,8
140,2,2,0,0,0,2,6
141,1,1,0,0,0,1,2
142,2,2,0,0,0,2,2
143,2,2,0,0,0,2,3
144,1,1,0,0,0,1,1
145,1,1,0,0,0,1,1
146,1,1,0,0,0,1,2
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,1,1,0,0,0,1,2
150,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0
155,42,19,23,56,0,42,63
156,18,10,8,14,0,18,39
157,7,5,2,5,0,7,13
158,7,6,1,1,0,7,22
159,4,4,0,0,0,4,9
160,4,3,1,1,0,4,19
161,1,1,0,0,0,1,1
162,2,2,0,0,0,2,5
163,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0
169,3,2,1,1,0,3,3
170,2,2,0,0,0,2,6
171,0,0,0,0,0,0,0
172,26,16,10,13,0,26,30
173,15,7,8,13,0,15,35
174,7,2,5,6,0,7,12
175,4,3,1,1,0,4,10
